id1,id2,weight
A000,Chapter I,1
A000,A00,1
A000,Block A00-A09,1
A000,ICD10,1
A00,Chapter I,1
A00,Block A00-A09,1
A00,ICD10,1
Block A00-A09,Chapter I,1
Block A00-A09,ICD10,1
Chapter I,ICD10,1
A001,Chapter I,1
A001,A00,1
A001,Block A00-A09,1
A001,ICD10,1
A009,Chapter I,1
A009,A00,1
A009,Block A00-A09,1
A009,ICD10,1
A010,Chapter I,1
A010,Block A00-A09,1
A010,ICD10,1
A010,A01,1
A01,Chapter I,1
A01,Block A00-A09,1
A01,ICD10,1
A011,Chapter I,1
A011,Block A00-A09,1
A011,ICD10,1
A011,A01,1
A012,Chapter I,1
A012,Block A00-A09,1
A012,ICD10,1
A012,A01,1
A013,Chapter I,1
A013,Block A00-A09,1
A013,ICD10,1
A013,A01,1
A014,Chapter I,1
A014,Block A00-A09,1
A014,ICD10,1
A014,A01,1
A020,Chapter I,1
A020,Block A00-A09,1
A020,ICD10,1
A020,A02,1
A02,Chapter I,1
A02,Block A00-A09,1
A02,ICD10,1
A021,Chapter I,1
A021,Block A00-A09,1
A021,ICD10,1
A021,A02,1
A022,Chapter I,1
A022,Block A00-A09,1
A022,ICD10,1
A022,A02,1
A028,Chapter I,1
A028,Block A00-A09,1
A028,ICD10,1
A028,A02,1
A029,Chapter I,1
A029,Block A00-A09,1
A029,ICD10,1
A029,A02,1
A030,Chapter I,1
A030,A03,1
A030,Block A00-A09,1
A030,ICD10,1
A03,Chapter I,1
A03,Block A00-A09,1
A03,ICD10,1
A031,Chapter I,1
A031,A03,1
A031,Block A00-A09,1
A031,ICD10,1
A032,Chapter I,1
A032,A03,1
A032,Block A00-A09,1
A032,ICD10,1
A033,Chapter I,1
A033,A03,1
A033,Block A00-A09,1
A033,ICD10,1
A038,Chapter I,1
A038,A03,1
A038,Block A00-A09,1
A038,ICD10,1
A039,Chapter I,1
A039,A03,1
A039,Block A00-A09,1
A039,ICD10,1
A040,Chapter I,1
A040,A04,1
A040,Block A00-A09,1
A040,ICD10,1
A04,Chapter I,1
A04,Block A00-A09,1
A04,ICD10,1
A041,Chapter I,1
A041,A04,1
A041,Block A00-A09,1
A041,ICD10,1
A042,Chapter I,1
A042,A04,1
A042,Block A00-A09,1
A042,ICD10,1
A043,Chapter I,1
A043,A04,1
A043,Block A00-A09,1
A043,ICD10,1
A044,Chapter I,1
A044,A04,1
A044,Block A00-A09,1
A044,ICD10,1
A045,Chapter I,1
A045,A04,1
A045,Block A00-A09,1
A045,ICD10,1
A046,Chapter I,1
A046,A04,1
A046,Block A00-A09,1
A046,ICD10,1
A047,Chapter I,1
A047,A04,1
A047,Block A00-A09,1
A047,ICD10,1
A048,Chapter I,1
A048,A04,1
A048,Block A00-A09,1
A048,ICD10,1
A049,Chapter I,1
A049,A04,1
A049,Block A00-A09,1
A049,ICD10,1
A050,Chapter I,1
A050,A05,1
A050,Block A00-A09,1
A050,ICD10,1
A05,Chapter I,1
A05,Block A00-A09,1
A05,ICD10,1
A051,Chapter I,1
A051,A05,1
A051,Block A00-A09,1
A051,ICD10,1
A052,Chapter I,1
A052,A05,1
A052,Block A00-A09,1
A052,ICD10,1
A053,Chapter I,1
A053,A05,1
A053,Block A00-A09,1
A053,ICD10,1
A054,Chapter I,1
A054,A05,1
A054,Block A00-A09,1
A054,ICD10,1
A058,Chapter I,1
A058,A05,1
A058,Block A00-A09,1
A058,ICD10,1
A059,Chapter I,1
A059,A05,1
A059,Block A00-A09,1
A059,ICD10,1
A060,Chapter I,1
A060,A06,1
A060,Block A00-A09,1
A060,ICD10,1
A06,Chapter I,1
A06,Block A00-A09,1
A06,ICD10,1
A061,Chapter I,1
A061,A06,1
A061,Block A00-A09,1
A061,ICD10,1
A062,Chapter I,1
A062,A06,1
A062,Block A00-A09,1
A062,ICD10,1
A063,Chapter I,1
A063,A06,1
A063,Block A00-A09,1
A063,ICD10,1
A064,Chapter I,1
A064,A06,1
A064,Block A00-A09,1
A064,ICD10,1
A065,Chapter I,1
A065,A06,1
A065,Block A00-A09,1
A065,ICD10,1
A066,Chapter I,1
A066,A06,1
A066,Block A00-A09,1
A066,ICD10,1
A067,Chapter I,1
A067,A06,1
A067,Block A00-A09,1
A067,ICD10,1
A068,Chapter I,1
A068,A06,1
A068,Block A00-A09,1
A068,ICD10,1
A069,Chapter I,1
A069,A06,1
A069,Block A00-A09,1
A069,ICD10,1
A070,Chapter I,1
A070,A07,1
A070,Block A00-A09,1
A070,ICD10,1
A07,Chapter I,1
A07,Block A00-A09,1
A07,ICD10,1
A071,Chapter I,1
A071,A07,1
A071,Block A00-A09,1
A071,ICD10,1
A072,Chapter I,1
A072,A07,1
A072,Block A00-A09,1
A072,ICD10,1
A073,Chapter I,1
A073,A07,1
A073,Block A00-A09,1
A073,ICD10,1
A078,Chapter I,1
A078,A07,1
A078,Block A00-A09,1
A078,ICD10,1
A079,Chapter I,1
A079,A07,1
A079,Block A00-A09,1
A079,ICD10,1
A080,Chapter I,1
A080,Block A00-A09,1
A080,ICD10,1
A080,A08,1
A08,Chapter I,1
A08,Block A00-A09,1
A08,ICD10,1
A081,Chapter I,1
A081,Block A00-A09,1
A081,ICD10,1
A081,A08,1
A082,Chapter I,1
A082,Block A00-A09,1
A082,ICD10,1
A082,A08,1
A083,Chapter I,1
A083,Block A00-A09,1
A083,ICD10,1
A083,A08,1
A084,Chapter I,1
A084,Block A00-A09,1
A084,ICD10,1
A084,A08,1
A085,Chapter I,1
A085,Block A00-A09,1
A085,ICD10,1
A085,A08,1
A090,Chapter I,1
A090,A09,1
A090,Block A00-A09,1
A090,ICD10,1
A09,Chapter I,1
A09,Block A00-A09,1
A09,ICD10,1
A099,Chapter I,1
A099,A09,1
A099,Block A00-A09,1
A099,ICD10,1
A150,A15,1
A150,Chapter I,1
A150,ICD10,1
A150,Block A15-A19,1
A15,Chapter I,1
A15,ICD10,1
A15,Block A15-A19,1
Block A15-A19,Chapter I,1
Block A15-A19,ICD10,1
A151,A15,1
A151,Chapter I,1
A151,ICD10,1
A151,Block A15-A19,1
A152,A15,1
A152,Chapter I,1
A152,ICD10,1
A152,Block A15-A19,1
A153,A15,1
A153,Chapter I,1
A153,ICD10,1
A153,Block A15-A19,1
A154,A15,1
A154,Chapter I,1
A154,ICD10,1
A154,Block A15-A19,1
A155,A15,1
A155,Chapter I,1
A155,ICD10,1
A155,Block A15-A19,1
A156,A15,1
A156,Chapter I,1
A156,ICD10,1
A156,Block A15-A19,1
A157,A15,1
A157,Chapter I,1
A157,ICD10,1
A157,Block A15-A19,1
A158,A15,1
A158,Chapter I,1
A158,ICD10,1
A158,Block A15-A19,1
A159,A15,1
A159,Chapter I,1
A159,ICD10,1
A159,Block A15-A19,1
A160,Chapter I,1
A160,ICD10,1
A160,A16,1
A160,Block A15-A19,1
A16,Chapter I,1
A16,ICD10,1
A16,Block A15-A19,1
A161,Chapter I,1
A161,ICD10,1
